feature_set,pos_weight,leaf,max_features,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
bcfs_anova1024_halfbcfs124,0.35,10,sqrt,default,0.5,0.6248387096774194,0.8178660049627792,0.8238863287250384,"[[809, 276], [91, 839]]"
bcfs_fisher1024_halfbcfs124,0.35,10,sqrt,default,0.5,0.6248387096774194,0.8178660049627792,0.8238863287250384,"[[809, 276], [91, 839]]"
fisher124,0.35,8,sqrt,default,0.5,0.6070967741935483,0.8168734491315136,0.8234254992319509,"[[801, 284], [85, 845]]"
bcfs_anova1024_halfbcfs124,0.55,10,sqrt,fs_acc,0.49558178697406025,0.6382258064516129,0.8163771712158809,0.8274193548387097,"[[742, 343], [27, 903]]"
bcfs_fisher1024_halfbcfs124,0.55,10,sqrt,fs_acc,0.49558178697406025,0.6382258064516129,0.8163771712158809,0.8274193548387097,"[[742, 343], [27, 903]]"
bcfs_anova1024_halfbcfs124,0.55,10,sqrt,default,0.5,0.637258064516129,0.8163771712158809,0.8271121351766513,"[[746, 339], [31, 899]]"
bcfs_fisher1024_halfbcfs124,0.55,10,sqrt,default,0.5,0.637258064516129,0.8163771712158809,0.8271121351766513,"[[746, 339], [31, 899]]"
bcfs_anova1024_imp124,0.35,8,sqrt,default,0.5,0.6261290322580645,0.8163771712158809,0.8240399385560676,"[[786, 299], [71, 859]]"
bcfs_fisher1024_imp124,0.35,8,sqrt,default,0.5,0.6261290322580645,0.8163771712158809,0.8240399385560676,"[[786, 299], [71, 859]]"
fisher124,0.45,10,sqrt,fs_acc,0.40160790586254386,0.63,0.8153846153846154,0.8285714285714285,"[[713, 372], [0, 930]]"
anova124,0.35,8,sqrt,fs_acc,0.40166210047705564,0.6304838709677419,0.8148883374689826,0.8280337941628264,"[[713, 372], [1, 929]]"
anova124,0.35,10,sqrt,default,0.5,0.6019354838709677,0.8138957816377171,0.8196620583717358,"[[808, 277], [98, 832]]"
bcfs_anova1024_imp124,0.35,10,sqrt,default,0.5,0.6220967741935484,0.8129032258064516,0.8182795698924732,"[[812, 273], [104, 826]]"
bcfs_fisher1024_imp124,0.35,10,sqrt,default,0.5,0.6220967741935484,0.8129032258064516,0.8182795698924732,"[[812, 273], [104, 826]]"
bcfs_anova1024_halfbcfs124,0.35,10,sqrt,fs_acc,0.4632207105554514,0.6337096774193548,0.8124069478908189,0.8224270353302612,"[[751, 334], [44, 886]]"
