model,threshold_strategy,threshold,fs_accuracy,test_accuracy,test_balanced_accuracy,confusion_matrix
gb_lr0.03_d3,sweep,0.6296541395080267,0.6122580645161291,0.8277915632754342,0.8304147465437788,"[[864, 221], [126, 804]]"
gb_lr0.08_d1,sweep,0.6359084148301652,0.6185483870967742,0.8277915632754342,0.8291858678955453,"[[880, 205], [142, 788]]"
gb_lr0.03_d1,sweep,0.6592436448394767,0.5958064516129032,0.8277915632754342,0.8267281105990782,"[[912, 173], [174, 756]]"
gb_lr0.03_d2,sweep,0.5354757672266156,0.6387096774193548,0.8272952853598015,0.8347158218125961,"[[801, 284], [64, 866]]"
gb_lr0.03_d1,sweep,0.644028839450786,0.6020967741935483,0.8272952853598015,0.8287250384024578,"[[879, 206], [142, 788]]"
gb_lr0.08_d1,sweep,0.6384300615948368,0.6183870967741936,0.8272952853598015,0.828494623655914,"[[882, 203], [145, 785]]"
gb_lr0.05_d2,sweep,0.5521304895366057,0.6266129032258064,0.8267990074441688,0.8337173579109063,"[[807, 278], [71, 859]]"
gb_lr0.03_d1,sweep,0.6485585747843363,0.6012903225806452,0.8267990074441688,0.8274961597542243,"[[888, 197], [152, 778]]"
gb_lr0.05_d1,sweep,0.519938317692358,0.6433870967741936,0.826302729528536,0.8373271889400922,"[[753, 332], [18, 912]]"
gb_lr0.03_d2,sweep,0.510893317220365,0.6412903225806451,0.826302729528536,0.8353302611367127,"[[779, 306], [44, 886]]"
gb_lr0.03_d3,sweep,0.5705825144911179,0.6245161290322581,0.826302729528536,0.8327956989247312,"[[812, 273], [77, 853]]"
gb_lr0.03_d3,sweep,0.6390733545460362,0.6106451612903225,0.826302729528536,0.8282642089093701,"[[871, 214], [136, 794]]"
gb_lr0.03_d3,sweep,0.6392389993228704,0.6108064516129033,0.826302729528536,0.8282642089093701,"[[871, 214], [136, 794]]"
gb_lr0.03_d2,sweep,0.6424912451480753,0.6053225806451613,0.826302729528536,0.8268049155145929,"[[890, 195], [155, 775]]"
gb_lr0.03_d2,sweep,0.6466786022018001,0.604516129032258,0.826302729528536,0.8267281105990784,"[[891, 194], [156, 774]]"
gb_lr0.08_d1,sweep,0.5172449136772622,0.6416129032258064,0.8258064516129032,0.8360215053763441,"[[763, 322], [29, 901]]"
gb_lr0.05_d1,sweep,0.6271229540048036,0.6179032258064516,0.8258064516129032,0.828494623655914,"[[861, 224], [127, 803]]"
gb_lr0.05_d1,sweep,0.5166209798177062,0.6440322580645161,0.8253101736972704,0.8366359447004608,"[[748, 337], [15, 915]]"
gb_lr0.03_d3,sweep,0.5682279260275676,0.6261290322580645,0.8253101736972704,0.8319508448540707,"[[809, 276], [76, 854]]"
gb_lr0.05_d2,sweep,0.5577398325560055,0.6264516129032258,0.8253101736972704,0.8317972350230415,"[[811, 274], [78, 852]]"
gb_lr0.05_d1,sweep,0.6371506048880817,0.615,0.8253101736972704,0.8272657450076805,"[[870, 215], [137, 793]]"
gb_lr0.03_d3,sweep,0.6588880382875729,0.6056451612903225,0.8253101736972704,0.8257296466973887,"[[890, 195], [157, 773]]"
gb_lr0.03_d1,sweep,0.5105608552807347,0.6482258064516129,0.8248138957816377,0.8373271889400922,"[[732, 353], [0, 930]]"
gnb,sweep,1.0,0.609516129032258,0.8248138957816377,0.8373271889400922,"[[732, 353], [0, 930]]"
gb_lr0.05_d1,default_predict,,,0.8248138957816377,0.8366359447004608,"[[741, 344], [9, 921]]"
gb_lr0.05_d1,sweep,0.5,0.6445161290322581,0.8248138957816377,0.8366359447004608,"[[741, 344], [9, 921]]"
gb_lr0.08_d1,sweep,0.5166808243994041,0.642258064516129,0.8248138957816377,0.835099846390169,"[[761, 324], [29, 901]]"
gb_lr0.05_d2,sweep,0.5434362295143318,0.6266129032258064,0.8248138957816377,0.8321812596006144,"[[799, 286], [67, 863]]"
gb_lr0.05_d2,sweep,0.5583102186221618,0.6258064516129033,0.8248138957816377,0.8312596006144393,"[[811, 274], [79, 851]]"
gb_lr0.05_d2,sweep,0.5870627877210369,0.6196774193548387,0.8248138957816377,0.8290322580645162,"[[840, 245], [108, 822]]"
gb_lr0.05_d1,sweep,0.6296499193650525,0.6180645161290322,0.8248138957816377,0.8272657450076805,"[[863, 222], [131, 799]]"
gb_lr0.05_d1,sweep,0.6344002653936066,0.6156451612903225,0.8248138957816377,0.8268817204301075,"[[868, 217], [136, 794]]"
gb_lr0.03_d3,sweep,0.6497198918530624,0.6085483870967742,0.8248138957816377,0.8258832565284178,"[[881, 204], [149, 781]]"
gb_lr0.08_d1,sweep,0.6424457473413313,0.6169354838709677,0.8248138957816377,0.8255760368663594,"[[885, 200], [153, 777]]"
gb_lr0.03_d3,sweep,0.6593164390005656,0.6058064516129033,0.8248138957816377,0.8251920122887865,"[[890, 195], [158, 772]]"
gb_lr0.03_d1,sweep,0.6625167505684628,0.5941935483870968,0.8248138957816377,0.8229646697388633,"[[919, 166], [187, 743]]"
gb_lr0.03_d1,sweep,0.5101730255284563,0.6483870967741936,0.824317617866005,0.8368663594470046,"[[731, 354], [0, 930]]"
gb_lr0.05_d1,sweep,0.5007120702070119,0.6445161290322581,0.824317617866005,0.8360983102918587,"[[741, 344], [10, 920]]"
