pos_weight,min_samples_leaf,max_features,threshold_strategy,threshold,fs_accuracy,fs_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_confusion_matrix
0.8,4,sqrt,fs_balanced,0.4981824772907456,0.6338709677419355,0.6384347966690921,0.8297766749379653,0.8419354838709677,"[[742, 343], [0, 930]]"
0.55,8,sqrt,default,0.5,0.6298387096774194,0.6313121513461072,0.8580645161290322,0.8682027649769586,"[[799, 286], [0, 930]]"
0.55,8,sqrt,fs_accuracy,0.4474283934815252,0.6337096774193548,0.6380709839113914,0.826302729528536,0.8387096774193548,"[[735, 350], [0, 930]]"
0.55,8,sqrt,fs_balanced,0.4474283934815252,0.6337096774193548,0.6380709839113914,0.826302729528536,0.8387096774193548,"[[735, 350], [0, 930]]"
0.35,4,sqrt,default,0.5,0.6348387096774194,0.6363165979464791,0.8560794044665012,0.8661290322580646,"[[798, 287], [3, 927]]"
0.35,4,sqrt,fs_accuracy,0.48010544793061444,0.6379032258064516,0.6404640633842671,0.8486352357320099,0.8594470046082949,"[[780, 305], [0, 930]]"
0.35,4,sqrt,fs_balanced,0.4752848842627415,0.6377419354838709,0.6405044870240116,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]"
0.65,8,sqrt,default,0.5,0.6337096774193548,0.6362438353949389,0.8496277915632754,0.8603686635944701,"[[782, 303], [0, 930]]"
0.65,8,sqrt,fs_accuracy,0.4925471125645624,0.6333870967741936,0.6363408521303258,0.8461538461538461,0.8571428571428572,"[[775, 310], [0, 930]]"
0.65,8,sqrt,fs_balanced,0.45138795841300683,0.6324193548387097,0.6377799337052308,0.8193548387096774,0.832258064516129,"[[721, 364], [0, 930]]"
0.45,5,sqrt,default,0.5,0.6306451612903226,0.632355081251516,0.8590570719602978,0.8690476190476191,"[[802, 283], [1, 929]]"
0.45,5,sqrt,fs_accuracy,0.472277117957169,0.6361290322580645,0.639291777831676,0.8496277915632754,0.8603686635944701,"[[782, 303], [0, 930]]"
0.45,5,sqrt,fs_balanced,0.472277117957169,0.6361290322580645,0.639291777831676,0.8496277915632754,0.8603686635944701,"[[782, 303], [0, 930]]"
0.45,10,sqrt,default,0.5,0.625,0.6244239631336406,0.8719602977667493,0.8797235023041474,"[[845, 240], [18, 912]]"
0.45,10,sqrt,fs_accuracy,0.4514049582286962,0.6353225806451613,0.6378769504406177,0.8540942928039702,0.864516129032258,"[[791, 294], [0, 930]]"
0.45,10,sqrt,fs_balanced,0.4126807986060649,0.6345161290322581,0.6390815749050045,0.8277915632754342,0.8400921658986176,"[[738, 347], [0, 930]]"
0.65,8,0.4,default,0.5,0.6370967741935484,0.6401972673619533,0.8431761786600497,0.8531490015360983,"[[785, 300], [16, 914]]"
0.65,8,0.4,fs_accuracy,0.49922818010125874,0.6374193548387097,0.6405853343035006,0.8426799007444169,0.8526881720430107,"[[784, 301], [16, 914]]"
0.65,8,0.4,fs_balanced,0.49922818010125874,0.6374193548387097,0.6405853343035006,0.8426799007444169,0.8526881720430107,"[[784, 301], [16, 914]]"
0.45,4,sqrt,default,0.5,0.6351612903225806,0.6373514431239389,0.8521091811414392,0.8624423963133641,"[[790, 295], [3, 927]]"
0.45,4,sqrt,fs_accuracy,0.4777023789222727,0.6380645161290323,0.6414261460101868,0.8416873449131513,0.8529953917050691,"[[766, 319], [0, 930]]"
0.45,4,sqrt,fs_balanced,0.4777023789222727,0.6380645161290323,0.6414261460101868,0.8416873449131513,0.8529953917050691,"[[766, 319], [0, 930]]"
